Id,Name,,Nat,Glider,Harnesses,Sponsor,Team,Club,Fed.,T 1,T 2,T 3,T 4,T 5,T 6,T 7,Total,
53,63238,BRUNO RODRIGUES SILVA,M,BRA,Flow XCRacer 2 - Verde Lima,Ozone Submarine,MC Auto Peças / Prefeitura de Ipatinga-MG,Equipe Flow XcRacer 2,AVLVA - ASSOCIAÇÂO DE VOO LIVRE VALE DO AÇO,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,242.4,227.5,3.7/14.5,928.9,30.7,797.5,0.0,2230.7
54,23678,LUCILEI DAL POZZO,M,BRA,Ozone Enzo 3 - Azul branco e fucsia,Ozone Submarine,PRO ESPORTE RS / FAMILIA GEISSE,Ozone,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,891.2,358.5,931.9,0.0,0.0,0.0,0.0,2181.6
55,52950,PABLO VIEIRA TOMÁS,M,BRA,Ozone Enzo 3 - vermelho e amarelo,Sol CX Max,ÁREA VERDE,Termal Fly,APPSC - ASSOCIAÇÃO DOS PILOTOS DE PARAPENTE DAS SERRAS DO CAPARAÓ,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,565.4,434.4,190.5,804.9,30.7,0.0,0.0,2025.9
56,125,RAFAEL SALADINI,M,BRA,Ozone Enzo 3 - Azul,,Ozone Paragliders | CSCVL,Ozone,CSCVL - CLUBE SãO CONRADO DE VOO LIVRE,FVLERJ - FEDERAÇÃO DE VOO LIVRE DO ESTADO DO RIO DE JANEIRO,971.4,967.3,0.0,0.0,0.0,0.0,0.0,1938.7
57,51115,JOSE GERONIMO COIMBRA JUNIOR,M,BRA,Ozone Enzo 3 - Azul/Cinza,Gin Genie Race 5,GRUPO GOMES - ITABIRA MG,Fumaça Deitada,AIP - ASSOCIAÇÃO ITABIRANA DE PARAPENTE,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,498.5,133.4,106.7,928.9,116.6,22.8/92.0,0.0,1806.9
58,2427,LUCIANO BENDER TCACENCO,M,BRA,Gin Boomerang 12 - laranja,Gin Genie Race 5,"FIESPORTE,ORGANIQUE, 3EJA, GIN",Coringas,CVLNA - CLUBE DE VOO LIVRE NINHO DAS AGUIAS,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,918.2,824.4,29.9,0.0,0.0,0.0,0.0,1772.5
59,22523,HELTON MACHADO KRAUS,M,BRA,Ozone Zeno 2 - Verde,,,Equipe SC,LCVL - LAGOA CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,883.0,805.9,0.0,0.0,0.0,0.0,0.0,1688.9
60,3013,RAFAEL ELEODORO DE GOES,M,BRA,Ozone Zeno 2 - Vermelho & amarelo,,UTFPR.EDU.BR,Paranauê,CDC - CLUBE DA CORDILHEIRA,FVLP - FEDERAçãO DE VOO LIVRE DO PARANá,875.4,753.5,0.0,0.0,0.0,0.0,0.0,1628.9
61,70121,VINICIUS BIANCHI MALACARNE,M,BRA,Ozone Zeno 2 - Azul,,DGRANOI TRANSPORTES,Capixaba Team,AVLBG - ASSOCIACAO DE VOO LIVRE DE BAIXO GUANDU,FCVL - FEDERAÇÃO CAPIXABA DE VOO LIVRE,893.6,724.3,0.0,0.0,0.0,0.0,0.0,1617.9
62,40116,CAIO BUZZARELLO,M,BRA,Ozone Enzo 3 - Verde e azul,,Ozone Paragliders,Ozone,JCVL - JARAGUÁ CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,566.7,984.9,0.0,0.0,0.0,0.0,0.0,1551.6
63,3050,FLAVIO LYSZKOWSKI PINHEIRO,M,BRA,Ozone Zeno 2 - Vermelho detalhe amarelo,Advance Impress 4,FAMíLIA GEISSE / PRó ESPORTE RS,,AGVL - ASSOCIAÇÃO GAÚCHA DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,595.9,287.4,648.0,0.0,0.0,0.0,0.0,1531.3
64,497,MOKA MOISES SODRE,M,BRA,Gin Boomerang 12 - Blue/ white,,DEUS & EU,,AVLI - ASSOCIAÇÃO DE VOO LIVRE IBITURUNA,FMVL - FEDERAÇÃO MINEIRA DE VOO LIVRE,561.3,967.4,0.0,0.0,0.0,0.0,0.0,1528.7
65,25503,MARCO ANDRE BRUXEL,M,BRA,Ozone Zeno 2 - Azul,Woody Valley XR7,MARCO BRUXEL,,AVTVL - ASSOCIAÇÃO VALE DO TAQUARI DE VOO LIVRE,FGVL - FEDERAÇÃO GAÚCHA DE VOO LIVRE,870.7,283.8,371.2,0.0,0.0,0.0,0.0,1525.7
66,2371,ROGERIO HONORATO TONOLLI,M,BRA,Ozone Zeno 2 - Verde,Woody Valley XR7,WWW.SAOBERNARDO.TUR.BR,,TCVL - TIMBÓ CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,0.0,0.0,382.1,161.4,106.0,827.2,24.4,1501.1
67,3047,JOSE LUIS SUDBRACK GUIMARAES,M,BRA,Ozone Enzo 3 - Roxo e Azul,SOL CXMAX,QUEM COMPRA COMIGO,Coringas,LCVL - LAGOA CLUBE DE VOO LIVRE,FCVL - FEDERAÇÃO CATARINENSE DE VOO LIVRE,569.9,0.0,926.9,0.0,0.0,0.0,0.0,1496.8
68,31429,VAGNER CAMPOS ALVES DOS SANTOS,M,BRA,BGD Diva 2 - Vermelho azul,,BGD PARAGLIDERS | WOW SPORTS | FULL SPEED BRASIL,,AVLPA - ASSOCIAÇÃO DE VOO LIVRE DO PICO AGUDO,FPVL - FEDERAÇÃO PAULISTA DE VOO LIVRE,0.0,0.0,14.5,164.1,716.9,502.8,0.0,1398.3
